Stop ID, Stop Name, Stop Latitude, Stop Longitude
194, Blocuri Metalurgie, 47.1529303, 27.62208143
195, Podu de Fier, 47.1670264, 27.5951359
196, Tehnopolis, 47.12394434, 27.56738621
197, Biserica Înălțarea Domnului, 47.12940211, 27.56930244
198, Tudor Neculai, 47.13822818, 27.57742581
199, Pod Nicolina, 47.14307359, 27.58065653
200, Piața Mihai Eminescu, 47.16895337, 27.57661047
201, C.E.T., 47.14919438, 27.60252726
202, C.E.T., 47.14822203, 27.60077158
204, C.E.T., 47.14959377, 27.60272244
207, Gară, 47.16659, 27.57018
210, Țesătura, 47.14908286, 27.59473622
212, Tătărași Nord, 47.16136752, 27.60901943
213, Columnei, 47.16680333, 27.54414859
214, Str. Bacinschi, 47.16810656, 27.56839173
229, Tehnopolis, 47.12347297, 27.56709644
230, Aeroport, 47.17652997, 27.61748512
231, Aeroport, 47.17635964, 27.61739462
232, Țuțora, 47.14334593, 27.64348871
233, Tehnoton, 47.14327515, 27.63578121
234, Fabrica de Ulei, 47.14406312, 27.62969582
237, Fabrica de Ulei, 47.14417759, 27.63027325
238, Tehnoton, 47.1434331, 27.63622607
239, Țuțora, 47.14350848, 27.64447815
240, Zimbru, 47.16701859, 27.55754945
241, C.U.G. I, 47.13362475, 27.57535008
242, C.U.G. I, 47.13388061, 27.57241091
243, Breazu, 47.2095358, 27.53157064
244, Stațiunea Viticolă, 47.20277829, 27.534626
245, Seminarul Teologic, 47.20091668, 27.53771906
252, Seminarul Teologic, 47.20077253, 27.53819302
253, Stațiunea Viticolă, 47.20262038, 27.53503203
254, Breazu, 47.20958955, 27.5315693
255, Moldomobila, 47.14484941, 27.60635197
256, Liceul de Construcții, 47.1430695, 27.60253275
267, Tătărași Nord, 47.16146, 27.60857
268, C.E.T., 47.14802365, 27.60137061
269, Somaco, 47.14346916, 27.6500505
270, Boromir, 47.14185697, 27.65831378
271, Caretta, 47.13848954, 27.66699587
272, Vinia, 47.13596595, 27.67333853
279, Vinia, 47.13563373, 27.67462027
280, Caretta, 47.13821701, 27.66787053
281, Boromir, 47.14180977, 27.65857559
282, Somaco, 47.14350572, 27.65125519
283, Twinkle Star, 47.16455063, 27.56568241
284, Policlinica Recuperare, 47.15185347, 27.57244495
285, Policlinica Recuperare, 47.15183231, 27.57255611
286, Frumoasa, 47.13951014, 27.58520344
287, Frumoasa, 47.13952284, 27.58525506
288, Clopotari, 47.13640522, 27.58158378
289, Clopotari, 47.13635495, 27.5814405
290, Piața C.U.G., 47.13477417, 27.57737842
291, Gara Internațională, 47.14780194, 27.57868683
292, Piața Dacia, 47.16945389, 27.54981038
294, Piața Dacia, 47.16897576, 27.55012051
296, Twinkle Star, 47.16448046, 27.565801
297, Spitalul Sf. Maria, 47.16012, 27.60947
298, Spitalul Sf. Maria, 47.16015, 27.61062
300, Podu Roș (3), 47.15011784, 27.58639552
301, Cimitirul Evreiesc, 47.17470124, 27.54422338
302, Cimitirul Evreiesc, 47.17479809, 27.54413761
303, Ateneu, 47.1624656, 27.60595406
306, Gara Socola, 47.13839593, 27.60625206
307, Baza 3, 47.14690568, 27.60977175
308, Baza 3, 47.14701416, 27.61053077
309, Baza 3, 47.14597152, 27.60881921
310, Baza 3, 47.14661535, 27.6099696
311, Piața Ing. Virgil Săhleanu, 47.14562, 27.61897
312, Piața Ing. Virgil Săhleanu, 47.14628, 27.61971
313, Rond Țuțora, 47.14342, 27.64338
314, Frigorifer, 47.14179755, 27.60010403
315, Țesătura, 47.14965297, 27.59515489
316, Țesătura, 47.15086, 27.59657
317, Țesătura, 47.14911991, 27.59507185
318, Țesătura, 47.14907777, 27.59536631
319, C.E.T., 47.14820919, 27.60152191
322, Școala Ion Ghica, 47.15211436, 27.59860017
323, Familial, 47.16218, 27.56678
324, Canta, 47.17253248, 27.53684185
325, Canta, 47.17244616, 27.53685651
326, Vamă, 47.14709112, 27.582039
327, Vamă, 47.14736, 27.58199
328, Podu Roș (2), 47.15045422, 27.58838401
331, Tg. Cucu, 47.16415371, 27.59017371
332, Palatul Culturii, 47.15932388, 27.58787297
333, Copou, 47.19043297, 27.55920142
334, Dr. Savini, 47.15999959, 27.61327235
335, Dr. Savini, 47.15995552, 27.61459976
336, Flora, 47.15915609, 27.61891001
337, Flora, 47.1589018, 27.62050867
338, Gara Socola, 47.13828304, 27.60674492
339, Liceul Agricol, 47.19862824, 27.5448744
340, Liceul Agricol, 47.19838339, 27.54463032
341, Liceul Pedagogic, 47.19969782, 27.54175231
342, Liceul Pedagogic, 47.19972757, 27.54156349
343, Muzeul Mihail Sadoveanu, 47.1959979, 27.55414613
344, Muzeul Mihail Sadoveanu, 47.19539916, 27.55468612
345, Pasaj Nicolina, 47.14453171, 27.58341973
346, Pasaj Nicolina, 47.14465269, 27.5835143
347, Piața Alexandru cel Bun, 47.16020431, 27.5701302
348, Piața C.U.G., 47.1348815, 27.57734723
349, Piața Sf. Anton de Padova, 47.16815216, 27.5583883
350, Piața Sf. Anton de Padova, 47.16829, 27.55827
351, Piața Sf. Anton de Padova, 47.16808, 27.55769
352, Str. Podgoriilor, 47.19733955, 27.55084366
353, Str. Podgoriilor, 47.19740528, 27.55027436
354, Tătărași Sud, 47.15626, 27.62394
355, Antibiotice, 47.17734056, 27.48900063
356, Antibiotice, 47.1774048, 27.48805851
357, Str. 1 Decembrie V.Lupului, 47.17386523, 27.50669785
358, Str. 1 Decembrie V.Lupului, 47.17387941, 27.50610441
360, Podu de Fier, 47.16616838, 27.59501025
361, Troița V.Lupului, 47.17519509, 27.4988383
362, Troița V.Lupului, 47.17503007, 27.49912329
363, Str. Conductelor, 47.16453204, 27.59615153
364, Str. Conductelor, 47.16434179, 27.59616466
365, Bucșinescu, 47.16014, 27.59971
366, Brico Depot ERA, 47.17005595, 27.51286089
369, Carrefour ERA, 47.16753906, 27.51390561
370, Țuțora, 47.14335173, 27.64319479
371, Țuțora, 47.14335431, 27.64333159
372, Piața Alexandru cel Bun, 47.15999, 27.5703
373, Dacia, 47.16952, 27.54061
377, Tătărași Nord, 47.16159, 27.6083
378, Dacia, 47.16796, 27.54174
379, Cimitirul Sf. Petru și Pavel, 47.17306523, 27.59897254
380, Cimitirul Sf. Petru și Pavel, 47.17305363, 27.59894639
381, Telegondola 1, 47.17849415, 27.59806998
382, Telegondola 1, 47.17892086, 27.59798214
383, Telegondola 2, 47.18108487, 27.60285035
384, Telegondola 2, 47.18062443, 27.60324597
385, Ciric, 47.17679, 27.60734
386, Ciric, 47.17695346, 27.60716432
387, Ciric, 47.17681, 27.6073
388, Spital Pascanu, 47.16752, 27.60001
389, Podu de Fier, 47.166924, 27.59466693
390, Tătărași Sud, 47.15646628, 27.6234524
391, Tg. Cucu, 47.163935, 27.59050548
392, Columnei, 47.16667772, 27.54415892
393, Columnei, 47.16672, 27.54527
394, Bicaz, 47.16669152, 27.55016366
395, Bicaz, 47.16676254, 27.55135521
396, Zimbru, 47.16672252, 27.55635703
397, Zimbru, 47.16624884, 27.55833259
398, Minerva, 47.16321932, 27.56455913
399, Moara 1 Mai, 47.17339207, 27.55245298
400, Pasaj Alexandru cel Bun, 47.16053123, 27.57307313
401, Pasaj Alexandru cel Bun, 47.16038293, 27.57312879
402, Podul de Piatră, 47.15674679, 27.57438943
403, Podul de Piatră, 47.15663974, 27.574374
404, Gara Internațională, 47.15040181, 27.57726207
405, Gara Internațională, 47.14911582, 27.57905915
406, Vamă, 47.14751392, 27.58145485
407, Piața Nicolina, 47.14630698, 27.59005524
408, Piața Nicolina, 47.14638289, 27.59019842
409, Piața Ing. Virgil Săhleanu, 47.1453899, 27.62116246
410, Fabrica de Ulei, 47.14420313, 27.62948468
411, Fabrica de Ulei, 47.14414766, 27.62984276
