from, to, travel_time
86, 87, 254
86, 88, 271
86, 91, 100
86, 110, 180
86, 115, 286
86, 125, 199
87, 29, 258
87, 30, 289
87, 84, 296
87, 86, 254
87, 88, 142
87, 89, 200
87, 90, 237
87, 91, 272
87, 115, 178
87, 125, 134
88, 86, 271
88, 87, 142
88, 89, 158
88, 90, 194
88, 91, 289
88, 115, 175
88, 125, 198
89, 52, 266
89, 87, 200
89, 88, 158
89, 90, 76
89, 115, 151
90, 51, 292
90, 52, 222
90, 87, 237
90, 88, 194
90, 89, 76
90, 115, 123
90, 154, 101
91, 55, 133
91, 66, 143
91, 67, 211
91, 69, 293
91, 84, 91
91, 85, 91
91, 86, 100
91, 87, 272
91, 88, 289
91, 110, 142
91, 190, 294
91, 191, 294
92, 19, 253
92, 20, 253
92, 21, 267
92, 33, 240
92, 34, 229
92, 35, 238
92, 41, 222
92, 58, 246
92, 68, 287
92, 70, 161
92, 105, 229
92, 120, 161
92, 153, 190
93, 18, 274
93, 94, 77
93, 98, 270
93, 99, 270
93, 100, 270
93, 106, 225
93, 119, 274
93, 153, 299
94, 17, 9
94, 20, 238
94, 41, 294
94, 93, 77
94, 104, 207
94, 106, 223
95, 15, 77
95, 16, 20
95, 47, 117
95, 134, 299
95, 139, 135
95, 140, 182
95, 144, 168
96, 12, 59
96, 13, 64
96, 116, 100
96, 139, 246
96, 144, 259
97, 133, 263
97, 134, 229
98, 16, 261
98, 17, 235
98, 47, 293
98, 93, 270
98, 99, 235
98, 100, 235
98, 106, 225
98, 168, 251
98, 170, 259
99, 16, 261
99, 17, 235
99, 47, 293
99, 93, 270
99, 98, 235
99, 100, 235
99, 106, 225
99, 168, 251
99, 170, 259
100, 16, 261
100, 17, 235
100, 47, 293
100, 93, 270
100, 98, 235
100, 99, 235
100, 106, 224
100, 168, 251
100, 170, 259
101, 102, 61
102, 101, 61
102, 103, 33
103, 102, 33
103, 123, 37
104, 19, 155
104, 20, 155
104, 41, 273
104, 70, 281
104, 94, 207
104, 105, 40
104, 153, 248
105, 34, 163
105, 35, 50
105, 41, 273
105, 70, 288
105, 92, 229
105, 104, 40
105, 120, 292
105, 153, 255
106, 18, 225
106, 93, 225
106, 94, 223
106, 98, 225
106, 99, 225
106, 100, 224
106, 107, 53
106, 119, 225
106, 168, 150
106, 170, 112
107, 106, 53
107, 108, 82
108, 107, 82
108, 109, 38
109, 108, 38
110, 84, 99
110, 85, 62
110, 86, 180
110, 91, 142
110, 125, 86
111, 55, 242
111, 56, 228
111, 67, 285
111, 72, 262
111, 82, 37
111, 83, 134
111, 121, 214
111, 145, 250
111, 190, 263
111, 191, 262
112, 22, 292
112, 38, 189
112, 39, 145
112, 58, 275
112, 68, 265
112, 72, 239
112, 73, 148
112, 74, 193
112, 81, 102
112, 82, 184
112, 113, 53
112, 121, 194
113, 38, 152
113, 39, 108
113, 73, 182
113, 74, 184
113, 112, 53
113, 114, 49
114, 40, 47
114, 73, 199
114, 74, 147
114, 75, 173
114, 113, 49
114, 121, 280
114, 145, 281
115, 28, 272
115, 29, 241
115, 30, 272
115, 42, 284
115, 51, 236
115, 52, 166
115, 80, 288
115, 86, 286
115, 87, 178
115, 88, 175
115, 89, 151
115, 90, 123
115, 125, 117
115, 154, 195
116, 9, 284
116, 12, 148
116, 13, 49
116, 24, 219
116, 32, 107
116, 96, 100
116, 135, 272
116, 136, 283
116, 137, 272
116, 169, 110
117, 27, 65
117, 28, 77
117, 51, 163
117, 52, 170
118, 35, 181
118, 36, 136
118, 59, 151
119, 16, 257
119, 17, 230
119, 18, 231
119, 47, 288
119, 93, 274
119, 106, 225
119, 168, 243
119, 170, 257
120, 21, 194
120, 22, 213
120, 34, 145
120, 41, 154
120, 58, 148
120, 68, 164
120, 69, 238
120, 70, 40
120, 72, 282
120, 81, 295
120, 92, 161
120, 105, 292
120, 136, 247
120, 190, 238
120, 191, 238
121, 21, 243
121, 22, 207
121, 55, 160
121, 56, 93
121, 58, 117
121, 67, 246
121, 68, 180
121, 69, 238
121, 72, 155
121, 73, 181
121, 74, 269
121, 81, 116
121, 82, 214
121, 111, 214
121, 112, 194
121, 114, 280
121, 136, 241
121, 145, 298
121, 190, 152
121, 191, 151
122, 123, 24
122, 126, 38
123, 103, 37
123, 122, 24
124, 1, 81
124, 2, 143
124, 126, 29
125, 29, 153
125, 30, 184
125, 48, 286
125, 49, 248
125, 53, 250
125, 86, 199
125, 87, 134
125, 88, 198
125, 110, 86
125, 115, 117
126, 122, 38
126, 124, 29
127, 80, 281
127, 128, 217
127, 129, 217
128, 80, 258
128, 127, 217
128, 129, 217
129, 80, 281
129, 127, 217
129, 128, 217
130, 10, 46
130, 11, 28
130, 135, 143
130, 137, 135
131, 9, 242
131, 10, 158
131, 12, 191
131, 24, 292
131, 135, 92
131, 137, 91
131, 150, 28
131, 156, 262
131, 169, 281
131, 171, 207
131, 185, 151
132, 138, 16
